,algorithm_name,avg_run_time,comparison_operator,n,repetitions,test_fun,timeouts
260,(1+5)-EA,2099.0,gt,150,10,BinVal,0
261,(1+5)-EA,2088.5,ge,150,10,BinVal,0
262,(1+10)-EA,2175.0,gt,150,10,OneMax,0
263,(1+10)-EA,2119.0,ge,150,10,OneMax,0
264,(1+10)-EA,18566.0,gt,150,10,LeadingOnes,0
265,(1+10)-EA,20354.0,ge,150,10,LeadingOnes,0
266,(1+10)-EA,inf,ge,150,10,Jump(3),10
267,(1+10)-EA,40649.0,ge,150,10,RoyalRoads(5),0
268,(1+10)-EA,2196.0,gt,150,10,BinVal,0
269,(1+10)-EA,2380.0,ge,150,10,BinVal,0
270,RLS,931.5,gt,175,10,OneMax,0
271,RLS,889.5,ge,175,10,OneMax,0
272,RLS,14599.2,gt,175,10,LeadingOnes,0
273,RLS,15527.7,ge,175,10,LeadingOnes,0
274,RLS,inf,ge,175,10,Jump(3),10
275,RLS,20520.2,ge,175,10,RoyalRoads(5),0
276,RLS,931.1,gt,175,10,BinVal,0
277,RLS,883.1,ge,175,10,BinVal,0
278,(1+1)-EA,2604.5,gt,175,10,OneMax,0
279,(1+1)-EA,2056.6,ge,175,10,OneMax,0
280,(1+1)-EA,24601.2,gt,175,10,LeadingOnes,0
281,(1+1)-EA,25411.1,ge,175,10,LeadingOnes,0
282,(1+1)-EA,inf,ge,175,10,Jump(3),10
283,(1+1)-EA,29478.0,ge,175,10,RoyalRoads(5),6
284,(1+1)-EA,2403.9,gt,175,10,BinVal,0
285,(1+1)-EA,2217.8,ge,175,10,BinVal,0
286,(1+2)-EA,2476.0,gt,175,10,OneMax,0
287,(1+2)-EA,2279.0,ge,175,10,OneMax,0
288,(1+2)-EA,28323.4,gt,175,10,LeadingOnes,0
289,(1+2)-EA,27604.2,ge,175,10,LeadingOnes,0
290,(1+2)-EA,inf,ge,175,10,Jump(3),10
291,(1+2)-EA,31869.333333333332,ge,175,10,RoyalRoads(5),4
292,(1+2)-EA,2284.222222222222,gt,175,10,BinVal,1
293,(1+2)-EA,2043.0,ge,175,10,BinVal,0
294,(1+5)-EA,2543.5,gt,175,10,OneMax,0
295,(1+5)-EA,2062.5,ge,175,10,OneMax,0
296,(1+5)-EA,26222.5,gt,175,10,LeadingOnes,0
297,(1+5)-EA,28182.0,ge,175,10,LeadingOnes,0
298,(1+5)-EA,112202.5,ge,175,10,Jump(3),8
299,(1+5)-EA,37318.75,ge,175,10,RoyalRoads(5),6
300,(1+5)-EA,2498.0,gt,175,10,BinVal,0
301,(1+5)-EA,2380.0,ge,175,10,BinVal,0
302,(1+10)-EA,2391.0,gt,175,10,OneMax,0
303,(1+10)-EA,2653.0,ge,175,10,OneMax,0
304,(1+10)-EA,25284.0,gt,175,10,LeadingOnes,0
305,(1+10)-EA,27014.0,ge,175,10,LeadingOnes,0
306,(1+10)-EA,56545.0,ge,175,10,RoyalRoads(5),8
307,(1+10)-EA,2595.0,gt,175,10,BinVal,0
308,(1+10)-EA,3179.0,ge,175,10,BinVal,0
309,RLS,1162.0,gt,200,10,OneMax,0
310,RLS,930.3,ge,200,10,OneMax,0
311,RLS,19806.8,gt,200,10,LeadingOnes,0
312,RLS,20933.0,ge,200,10,LeadingOnes,0
313,RLS,26790.125,ge,200,10,RoyalRoads(5),2
314,RLS,988.9,gt,200,10,BinVal,0
315,RLS,957.6,ge,200,10,BinVal,0
316,(1+1)-EA,2369.0,gt,200,10,OneMax,0
317,(1+1)-EA,2225.0,ge,200,10,OneMax,0
318,(1+1)-EA,34343.5,gt,200,10,LeadingOnes,0
319,(1+1)-EA,33556.1,ge,200,10,LeadingOnes,0
320,(1+1)-EA,29021.0,ge,200,10,RoyalRoads(5),9
321,(1+1)-EA,2881.7,gt,200,10,BinVal,0
322,(1+1)-EA,2522.9,ge,200,10,BinVal,0
323,(1+2)-EA,2582.2,gt,200,10,OneMax,0
324,(1+2)-EA,2543.2,ge,200,10,OneMax,0
325,(1+2)-EA,33571.8,gt,200,10,LeadingOnes,0
326,(1+2)-EA,36580.8,ge,200,10,LeadingOnes,0
327,(1+2)-EA,38987.0,ge,200,10,RoyalRoads(5),8
328,(1+2)-EA,2699.0,gt,200,10,BinVal,0
329,(1+2)-EA,2886.4,ge,200,10,BinVal,0
330,(1+5)-EA,2944.5,gt,200,10,OneMax,0
331,(1+5)-EA,2677.5,ge,200,10,OneMax,0
332,(1+5)-EA,33779.0,gt,200,10,LeadingOnes,0
333,(1+5)-EA,34251.0,ge,200,10,LeadingOnes,0
334,(1+5)-EA,inf,ge,200,10,Jump(3),10
335,(1+5)-EA,inf,ge,200,10,RoyalRoads(5),10
336,(1+5)-EA,3144.4444444444443,gt,200,10,BinVal,1
337,(1+5)-EA,2720.5,ge,200,10,BinVal,0
338,(1+10)-EA,2924.0,gt,200,10,OneMax,0
339,(1+10)-EA,3451.0,ge,200,10,OneMax,0
340,(1+10)-EA,32724.0,gt,200,10,LeadingOnes,0
341,(1+10)-EA,35690.0,ge,200,10,LeadingOnes,0
